/bin/sh build-scripts/mkinstalldirs build
mkdir -p -- build
/bin/sh build-scripts/updaterev.sh
  CC     build/SDL.lo
  CC     build/SDL_assert.lo
  CC     build/SDL_dataqueue.lo
  CC     build/SDL_error.lo
  CC     build/SDL_hints.lo
  CC     build/SDL_log.lo
  CC     build/SDL_atomic.lo
  CC     build/SDL_spinlock.lo
  CC     build/SDL_audio.lo
  CC     build/SDL_audiocvt.lo
  CC     build/SDL_audiodev.lo
  CC     build/SDL_audiotypecvt.lo
  CC     build/SDL_mixer.lo
  CC     build/SDL_wave.lo
  CC     build/SDL_cpuinfo.lo
  CC     build/SDL_dynapi.lo
  CC     build/SDL_clipboardevents.lo
  CC     build/SDL_dropevents.lo
  CC     build/SDL_events.lo
  CC     build/SDL_gesture.lo
  CC     build/SDL_keyboard.lo
  CC     build/SDL_mouse.lo
  CC     build/SDL_quit.lo
  CC     build/SDL_touch.lo
  CC     build/SDL_windowevents.lo
  CC     build/SDL_rwops.lo
  CC     build/SDL_haptic.lo
  CC     build/SDL_gamecontroller.lo
  CC     build/SDL_joystick.lo
  CC     build/e_atan2.lo
  CC     build/e_log.lo
  CC     build/e_pow.lo
  CC     build/e_rem_pio2.lo
  CC     build/e_sqrt.lo
  CC     build/k_cos.lo
  CC     build/k_rem_pio2.lo
  CC     build/k_sin.lo
  CC     build/k_tan.lo
  CC     build/s_atan.lo
  CC     build/s_copysign.lo
  CC     build/s_cos.lo
  CC     build/s_fabs.lo
  CC     build/s_floor.lo
  CC     build/s_scalbn.lo
  CC     build/s_sin.lo
  CC     build/s_tan.lo
  CC     build/SDL_power.lo
  CC     build/SDL_d3dmath.lo
  CC     build/SDL_render.lo
  CC     build/SDL_yuv_mmx.lo
  CC     build/SDL_yuv_sw.lo
  CC     build/SDL_render_d3d.lo
  CC     build/SDL_render_d3d11.lo
  CC     build/SDL_render_gl.lo
  CC     build/SDL_shaders_gl.lo
  CC     build/SDL_render_gles.lo
  CC     build/SDL_render_gles2.lo
  CC     build/SDL_shaders_gles2.lo
  CC     build/SDL_render_psp.lo
  CC     build/SDL_blendfillrect.lo
  CC     build/SDL_blendline.lo
  CC     build/SDL_blendpoint.lo
  CC     build/SDL_drawline.lo
  CC     build/SDL_drawpoint.lo
  CC     build/SDL_render_sw.lo
  CC     build/SDL_rotate.lo
  CC     build/SDL_getenv.lo
  CC     build/SDL_iconv.lo
  CC     build/SDL_malloc.lo
  CC     build/SDL_qsort.lo
  CC     build/SDL_stdlib.lo
  CC     build/SDL_string.lo
  CC     build/SDL_thread.lo
